DateTime,Wika Palwal - Metal Shed 1 (New)-Inv 1 - Daily Energy (kWh),Wika Palwal - Metal Shed 1 (New)-Inv 2 - Daily Energy (kWh),Wika Palwal - Metal Shed 1 (New)-Inv 3 - Daily Energy (kWh),Total (Cumulative for Day),Hourly Total
01-04-25 0:00,0,0,0,0,0
01-04-25 1:00,0,0,0,0,0
01-04-25 2:00,0,0,0,0,0
01-04-25 3:00,0,0,0,0,0
01-04-25 4:00,0,0,0,0,0
01-04-25 5:00,0,0,0,0,0
01-04-25 6:00,0,0,0,0,0
01-04-25 7:00,3.78,2.08,2.74,8.6,8.6
01-04-25 8:00,30.67,12.97,21.82,65.46,56.86
01-04-25 9:00,70.08,36.26,52.06,158.4,92.94
01-04-25 10:00,105.66,61.84,80.46,247.96,89.56
01-04-25 11:00,191.92,132.31,152,476.23,228.27
01-04-25 12:00,282.97,213.45,229.99,726.41,250.18
01-04-25 13:00,372.66,298.6,308.58,979.84,253.43
01-04-25 14:00,456.35,383.17,383.66,1223.18,243.34
01-04-25 15:00,522.61,455.57,445.2,1423.38,200.2
01-04-25 16:00,556.04,497.71,478.39,1532.14,108.76
01-04-25 17:00,585.06,541.89,510.4,1637.35,105.21
01-04-25 18:00,593.61,561.17,522.47,1677.25,39.9
01-04-25 19:00,594.61,563.07,523.74,1681.42,4.17
01-04-25 20:00,594.61,563.07,523.74,1681.42,0
01-04-25 21:00,594.61,563.07,523.74,1681.42,0
01-04-25 22:00,0,0,0,0,0
01-04-25 23:00,0,0,0,0,0
02-04-25 0:00,0,0,0,0,0
02-04-25 1:00,0,0,0,0,0
02-04-25 2:00,0,0,0,0,0
02-04-25 3:00,0,0,0,0,0
02-04-25 4:00,0,0,0,0,0
02-04-25 5:00,0,0,0,0,0
02-04-25 6:00,0,0,0,0,0
02-04-25 7:00,3.65,2.23,2.79,8.67,8.67
02-04-25 8:00,21.66,10.06,15.57,47.29,38.62
02-04-25 9:00,71.54,40.34,53.9,165.78,118.49
02-04-25 10:00,140.62,91.27,109.21,341.1,175.32
02-04-25 11:00,221.87,158.2,176.59,556.66,215.56
02-04-25 12:00,307.41,234.36,249.48,791.25,234.59
02-04-25 13:00,394.01,316.84,325.22,1036.07,244.82
02-04-25 14:00,473.82,397.6,396.67,1268.09,232.02
02-04-25 15:00,540.28,470.57,458.21,1469.06,200.97
02-04-25 16:00,588.78,529.99,505.68,1624.45,155.39
02-04-25 17:00,615.81,570.11,534.9,1720.82,96.37
02-04-25 18:00,624.47,587.9,546.42,1758.79,37.97
02-04-25 19:00,625.5,589.73,547.67,1762.9,4.11
02-04-25 20:00,625.5,589.73,547.67,1762.9,0
02-04-25 21:00,625.5,589.73,547.67,1762.9,0
02-04-25 22:00,0,0,0,0,0
02-04-25 23:00,0,0,0,0,0
03-04-25 0:00,0,0,0,0,0
03-04-25 1:00,0,0,0,0,0
03-04-25 2:00,0,0,0,0,0
03-04-25 3:00,0,0,0,0,0
03-04-25 4:00,0,0,0,0,0
03-04-25 5:00,0,0,0,0,0
03-04-25 6:00,0,0,0,0,0
03-04-25 7:00,3.45,2.36,2.65,8.46,8.46
03-04-25 8:00,15.79,8.73,11.75,36.27,27.81
03-04-25 9:00,64.35,38.3,48.98,151.63,115.36
03-04-25 10:00,132.4,87.52,103.02,322.94,171.31
03-04-25 11:00,211.31,151.2,167.92,530.43,207.49
03-04-25 12:00,297.18,225.23,240.11,762.52,232.09
03-04-25 13:00,340.07,264.63,277.11,881.81,119.29
03-04-25 14:00,401.45,326.72,332.13,1060.3,178.49
03-04-25 15:00,467.34,397.86,392.77,1257.97,197.67
03-04-25 16:00,516.62,457.29,440.57,1414.48,156.51
03-04-25 17:00,542.2,494.35,467.85,1504.4,89.92
03-04-25 18:00,548.27,503.33,474.45,1526.05,21.65
03-04-25 19:00,548.84,504.12,475.03,1527.99,1.94
03-04-25 20:00,548.84,504.12,475.03,1527.99,0
03-04-25 21:00,548.84,504.12,475.03,1527.99,0
03-04-25 22:00,0,0,0,0,0
03-04-25 23:00,0,0,0,0,0
04-04-25 0:00,0,0,0,0,0
04-04-25 1:00,0,0,0,0,0
04-04-25 2:00,0,0,0,0,0
04-04-25 3:00,0,0,0,0,0
04-04-25 4:00,0,0,0,0,0
04-04-25 5:00,0,0,0,0,0
04-04-25 6:00,0,0,0,0,0
04-04-25 7:00,3.14,2.49,2.63,8.26,8.26
04-04-25 8:00,20.5,12.55,15.94,48.99,40.73
04-04-25 9:00,63.18,39.56,49.07,151.81,102.82
04-04-25 10:00,124.14,84.87,97.91,306.92,155.11
04-04-25 11:00,197.01,144.87,158.56,500.44,193.52
04-04-25 12:00,275.46,214.31,225.34,715.11,214.67
04-04-25 13:00,353.42,288.57,293.67,935.66,220.55
04-04-25 14:00,424.14,360.12,357.11,1141.37,205.71
04-04-25 15:00,482.16,423.5,410.89,1316.55,175.18
04-04-25 16:00,525.33,476.06,452.99,1454.38,137.83
04-04-25 17:00,549.44,511.47,478.96,1539.87,85.49
04-04-25 18:00,557.59,526.5,489.15,1573.24,33.37
